data_sp,dominio,agente,usd_exato_6c,tx
2026-08-21,api.arkm.com,mesa-censo,0.200000,0x659b8b1a6370305f77212e4499c1f182f0b40e95e758b92054a71a6d06a4851f
2026-08-21,api.onesource.io,mesa-censo,0.001000,0x34d06f9ba6da38195565fd2a67e2014058ac51ccdea01b34b5c54fef8f6bad79
2026-08-21,api.printmoneylab.com,mesa-censo,0.002000,0xd7c147ed46c7a49d858d166f67fda7c34a33d4d85f89f9388b2ac6d6a6368d70
2026-08-21,coinflip402.vercel.app,mesa-censo,0.001000,0xe6cd835c1b34a536433b006c151116e31fbeae0999dcf45e9ac6787f95243c7f
2026-08-21,conc-exe.xyz,mesa-censo,0.020000,0x22cf4994c52dc6764c1d27d25d85f6dd573c6071e956332b5b9f4e53b292a135
2026-08-21,fresh-feeds.foomworks.workers.dev,mesa-censo,0.020000,0xb8306c91920c1b89b278a549d7180eb5d2a52e8653b14835235ac53c3aacaa8f
2026-08-21,jokes-endpoint.vercel.app,mesa-censo,0.002000,0x5a514e31756255daa35fb12d10778c2ba44127424814d5bc07d7f4e14b1bab75
2026-08-21,memegeneratorx402.vercel.app,mesa-censo,0.001000,0x69a5fa4bc79eb25f6725d93a273971fd1f0832cc0975e82d4d5998f07a230d10
2026-08-21,randomfactsx402.vercel.app,mesa-censo,0.001000,0xb3bccf39c611845bdbd6ebd916b3c91a0fd67a4875c62820e6b699a20449e5e7
2026-08-21,riddlex402.vercel.app,mesa-censo,0.002000,0xcc28ba6ae46795e103985d86a101749965e4c4ddbca5d71dc6881ae9c56f82b3
2026-08-21,screenshots.underscoredone.com,mesa-censo,0.020000,0x29ef388c8c97bb06c59be03796a761efb76db1ebd45b35ad4e687f488f930cb8
2026-08-21,x402.ottoai.services,mesa-censo,0.001000,0x7b6ac907aa48ae5ea8cd82687f60f3795789d7169ef31e39de2e6010901fb0d1
2026-08-21,x402lifeadvice.vercel.app,mesa-censo,0.001000,0x2b3dfcb3fd3049c8a427939101e8d01edcfc3ff4401626520d2cd50d06fac63b
